,Actual,Forecasted
2025-06-19 00:00:00,0.0,0.0
2025-06-19 01:00:00,0.0,0.0
2025-06-19 02:00:00,8.0,8.842367312179642
2025-06-19 03:00:00,100.0,89.41484124689165
2025-06-19 04:00:00,340.0,310.9603879126458
2025-06-19 05:00:00,1064.0,941.8001213036505
2025-06-19 06:00:00,1684.0,1547.2570702957655
2025-06-19 07:00:00,2136.0,1894.5312791640472
2025-06-19 08:00:00,2532.0,2315.832460362322
2025-06-19 09:00:00,3192.0,2879.122699573282
2025-06-19 10:00:00,2836.0,2597.6895702976403
2025-06-19 11:00:00,2856.0,3096.5744191496506
2025-06-19 12:00:00,2604.0,2485.3965673355187
2025-06-19 13:00:00,2364.0,2166.657063756284
2025-06-19 14:00:00,1436.0,1416.629868986428
2025-06-19 15:00:00,816.0,862.5851896889673
2025-06-19 16:00:00,276.0,316.89716346760457
2025-06-19 17:00:00,28.0,54.16552541991363
2025-06-19 18:00:00,0.0,0.0
2025-06-19 19:00:00,0.0,0.0
2025-06-19 20:00:00,0.0,0.0
2025-06-19 21:00:00,0.0,0.0
2025-06-19 22:00:00,0.0,0.0
2025-06-19 23:00:00,0.0,0.0
2025-06-20 00:00:00,0.0,0.0
2025-06-20 01:00:00,0.0,0.0
2025-06-20 02:00:00,12.0,0.0
2025-06-20 03:00:00,108.0,0.0
2025-06-20 04:00:00,412.0,45.43398562958965
2025-06-20 05:00:00,856.0,637.559052097369
2025-06-20 06:00:00,1032.0,1082.0944643070109
2025-06-20 07:00:00,1324.0,1455.3218829859109
2025-06-20 08:00:00,864.0,1410.5855314635878
2025-06-20 09:00:00,1024.0,1249.5466879158284
2025-06-20 10:00:00,624.0,935.8704442760056
2025-06-20 11:00:00,608.0,460.912178757291
2025-06-20 12:00:00,544.0,499.6842774424885
2025-06-20 13:00:00,896.0,532.2332483925571
2025-06-20 14:00:00,448.0,679.9866822476033
2025-06-20 15:00:00,576.0,311.09960839016014
2025-06-20 16:00:00,296.0,196.04357279028744
2025-06-20 17:00:00,48.0,0.0
2025-06-20 18:00:00,0.0,0.0
2025-06-20 19:00:00,0.0,0.0
2025-06-20 20:00:00,0.0,0.0
2025-06-20 21:00:00,0.0,0.0
2025-06-20 22:00:00,0.0,0.0
2025-06-20 23:00:00,0.0,0.0
2025-06-21 00:00:00,0.0,0.0
2025-06-21 01:00:00,0.0,0.0
2025-06-21 02:00:00,4.0,0.0
2025-06-21 03:00:00,116.0,0.0
2025-06-21 04:00:00,336.0,54.86214055732304
2025-06-21 05:00:00,1128.0,894.0812998408067
2025-06-21 06:00:00,1812.0,1532.127562530567
2025-06-21 07:00:00,2428.0,2099.2723817619017
2025-06-21 08:00:00,2856.0,2516.181368457315
2025-06-21 09:00:00,3400.0,2818.2561729693807
2025-06-21 10:00:00,3156.0,2794.730343553567
2025-06-21 11:00:00,3012.0,2606.98942265608
2025-06-21 12:00:00,1764.0,2437.3811751966696
2025-06-21 13:00:00,2204.0,1697.7075468669034
2025-06-21 14:00:00,1544.0,1261.6403406320935
2025-06-21 15:00:00,728.0,809.362579953889
2025-06-21 16:00:00,264.0,331.21577227929475
2025-06-21 17:00:00,40.0,38.62771173939524
2025-06-21 18:00:00,0.0,0.0
2025-06-21 19:00:00,0.0,0.0
2025-06-21 20:00:00,0.0,0.0
2025-06-21 21:00:00,0.0,0.0
2025-06-21 22:00:00,0.0,0.0
2025-06-21 23:00:00,0.0,0.0
2025-06-22 00:00:00,0.0,0.0
2025-06-22 01:00:00,0.0,0.0
2025-06-22 02:00:00,4.0,0.0
2025-06-22 03:00:00,84.0,0.0
2025-06-22 04:00:00,316.0,208.6829168437849
2025-06-22 05:00:00,1092.0,914.6819906246943
2025-06-22 06:00:00,1728.0,1531.3779588033203
2025-06-22 07:00:00,2268.0,2094.847554279971
2025-06-22 08:00:00,2960.0,2511.7360714343663
2025-06-22 09:00:00,2964.0,2816.7816187840003
2025-06-22 10:00:00,3032.0,2830.2709486313106
2025-06-22 11:00:00,2888.0,2693.4680111897947
2025-06-22 12:00:00,2824.0,2549.8647545772237
2025-06-22 13:00:00,2220.0,2190.773459032809
2025-06-22 14:00:00,1616.0,1562.6620858703748
2025-06-22 15:00:00,868.0,935.6995494781768
2025-06-22 16:00:00,272.0,371.30157765399747
2025-06-22 17:00:00,28.0,37.225792594749464
2025-06-22 18:00:00,0.0,0.0
2025-06-22 19:00:00,0.0,0.0
2025-06-22 20:00:00,0.0,0.0
2025-06-22 21:00:00,0.0,0.0
2025-06-22 22:00:00,0.0,0.0
2025-06-22 23:00:00,0.0,0.0
2025-06-23 00:00:00,0.0,0.0
2025-06-23 01:00:00,0.0,0.0
2025-06-23 02:00:00,4.0,0.0
2025-06-23 03:00:00,88.0,0.0
2025-06-23 04:00:00,312.0,204.6051280676967
2025-06-23 05:00:00,1060.0,909.2490572464785
2025-06-23 06:00:00,1696.0,1525.8218438114982
2025-06-23 07:00:00,2260.0,2089.1635560021864
2025-06-23 08:00:00,2644.0,2506.3049632848006
2025-06-23 09:00:00,3148.0,2814.301481038215
2025-06-23 10:00:00,2840.0,2828.073752984009
2025-06-23 11:00:00,2772.0,2640.96548892052
2025-06-23 12:00:00,2380.0,2505.851194719174
2025-06-23 13:00:00,2272.0,2076.8153998158787
2025-06-23 14:00:00,1432.0,1522.8312964272352
2025-06-23 15:00:00,820.0,924.265894930382
2025-06-23 16:00:00,260.0,371.8268091702046
2025-06-23 17:00:00,40.0,34.4874882383298
2025-06-23 18:00:00,0.0,0.0
2025-06-23 19:00:00,0.0,0.0
