,172,D.156.DELTA,D.171.ISIRR,temperature,gti_instant
2025-06-16 21:00:00,19.347,0.0,2.475,19.96,0.0
2025-06-16 22:00:00,20.022,0.0,2.473,18.93,0.0
2025-06-16 23:00:00,18.343,0.0,2.48,17.94,0.0
2025-06-17 00:00:00,17.261,0.0,2.472,16.64,0.0
2025-06-17 01:00:00,16.503,0.0,2.473,15.87,0.0
2025-06-17 02:00:00,16.498,8.0,9.816,14.87,0.0
2025-06-17 03:00:00,19.279,104.0,47.554,15.37,7.35
2025-06-17 04:00:00,24.326,340.0,147.023,16.53,93.08
2025-06-17 05:00:00,28.994,1116.0,340.375,19.6,295.03
2025-06-17 06:00:00,29.471,1740.0,538.361,22.8,526.04
2025-06-17 07:00:00,30.566,2328.0,724.471,25.73,720.87
2025-06-17 08:00:00,31.611,2732.0,876.021,27.43,880.63
2025-06-17 09:00:00,32.59,3264.0,970.581,28.53,986.1
2025-06-17 10:00:00,33.548,3028.0,993.689,29.03,1025.67
2025-06-17 11:00:00,34.009,2904.0,953.845,29.53,995.0
2025-06-17 12:00:00,34.384,2616.0,849.108,29.93,896.78
2025-06-17 13:00:00,34.886,2360.0,688.828,30.37,744.75
2025-06-17 14:00:00,35.051,1504.0,487.945,30.67,550.68
2025-06-17 15:00:00,36.193,792.0,276.916,30.6,342.87
2025-06-17 16:00:00,34.278,224.0,89.062,29.9,144.08
2025-06-17 17:00:00,29.613,36.0,20.155,28.03,23.67
2025-06-17 18:00:00,25.9,0.0,2.523,25.63,0.0
2025-06-17 19:00:00,24.196,0.0,2.515,23.33,0.0
2025-06-17 20:00:00,23.65,0.0,2.511,22.0,0.0
2025-06-17 21:00:00,23.451,0.0,2.529,21.23,0.0
2025-06-17 22:00:00,22.858,0.0,2.525,20.77,0.0
2025-06-17 23:00:00,22.25,0.0,2.516,20.34,0.0
2025-06-18 00:00:00,21.695,0.0,2.514,19.77,0.0
2025-06-18 01:00:00,21.02,0.0,2.506,19.03,0.0
2025-06-18 02:00:00,21.014,0.0,6.289,18.13,0.0
2025-06-18 03:00:00,21.584,108.0,47.823,17.83,5.91
2025-06-18 04:00:00,23.513,416.0,141.18,18.57,45.05
2025-06-18 05:00:00,25.066,772.0,234.365,20.07,158.44
2025-06-18 06:00:00,27.351,1148.0,371.414,21.67,353.37
2025-06-18 07:00:00,28.637,1560.0,500.254,22.87,470.28
2025-06-18 08:00:00,29.983,2128.0,699.258,23.9,667.53
2025-06-18 09:00:00,30.882,3104.0,930.263,24.9,862.18
2025-06-18 10:00:00,32.103,2936.0,956.162,25.9,1025.5
2025-06-18 11:00:00,32.465,2504.0,856.032,26.83,977.6
2025-06-18 12:00:00,33.153,2312.0,744.284,27.77,884.14
2025-06-18 13:00:00,34.482,2316.0,680.809,28.43,744.84
2025-06-18 14:00:00,35.681,1448.0,477.325,29.03,551.68
2025-06-18 15:00:00,37.493,828.0,283.214,29.07,332.94
2025-06-18 16:00:00,37.204,256.0,102.507,29.0,144.96
2025-06-18 17:00:00,31.222,40.0,22.303,28.07,22.41
2025-06-18 18:00:00,24.598,0.0,2.511,25.7,0.0
2025-06-18 19:00:00,21.864,0.0,2.504,23.13,0.0
2025-06-18 20:00:00,20.415,0.0,2.489,20.87,0.0
2025-06-18 21:00:00,19.703,0.0,2.474,20.13,0.0
2025-06-18 22:00:00,19.624,0.0,2.482,20.1,0.0
2025-06-18 23:00:00,18.739,0.0,2.484,20.3,0.0
2025-06-19 00:00:00,18.001,0.0,2.485,20.23,0.0
2025-06-19 01:00:00,17.312,0.0,2.47,19.47,0.0
2025-06-19 02:00:00,17.353,8.0,10.416,19.0,0.0
2025-06-19 03:00:00,20.511,100.0,48.82,18.9,7.4
2025-06-19 04:00:00,26.96,340.0,141.342,19.93,93.44
2025-06-19 05:00:00,32.962,1064.0,329.878,21.73,293.43
2025-06-19 06:00:00,33.27,1684.0,532.361,24.43,520.07
2025-06-19 07:00:00,34.837,2136.0,681.182,26.87,710.46
2025-06-19 08:00:00,35.758,2532.0,835.854,28.73,814.32
2025-06-19 09:00:00,36.597,3192.0,966.694,29.87,965.37
2025-06-19 10:00:00,37.106,2836.0,946.816,30.63,1025.39
2025-06-19 11:00:00,37.44,2856.0,951.761,31.3,964.31
2025-06-19 12:00:00,38.068,2604.0,845.053,31.87,846.84
2025-06-19 13:00:00,37.853,2364.0,693.404,32.4,717.87
2025-06-19 14:00:00,37.227,1436.0,474.167,32.37,539.41
2025-06-19 15:00:00,38.518,816.0,289.855,32.27,335.4
2025-06-19 16:00:00,38.008,276.0,107.955,31.87,143.45
2025-06-19 17:00:00,33.554,28.0,24.184,30.53,22.32
2025-06-19 18:00:00,27.401,0.0,2.548,28.23,0.0
2025-06-19 19:00:00,24.262,0.0,2.518,25.13,0.0
2025-06-19 20:00:00,23.412,0.0,2.519,23.37,0.0
2025-06-19 21:00:00,24.381,0.0,2.536,22.1,0.0
2025-06-19 22:00:00,24.989,0.0,2.561,22.07,0.0
2025-06-19 23:00:00,24.497,0.0,2.533,21.8,0.0
