time_utc,temperature,gti_instant
2025-06-16 21:00:00+00:00,19.96,0.0
2025-06-16 22:00:00+00:00,18.93,0.0
2025-06-16 23:00:00+00:00,17.94,0.0
2025-06-17 00:00:00+00:00,16.64,0.0
2025-06-17 01:00:00+00:00,15.87,0.0
2025-06-17 02:00:00+00:00,14.87,0.0
2025-06-17 03:00:00+00:00,15.37,7.35
2025-06-17 04:00:00+00:00,16.53,93.08
2025-06-17 05:00:00+00:00,19.6,295.03
2025-06-17 06:00:00+00:00,22.8,526.04
2025-06-17 07:00:00+00:00,25.73,720.87
2025-06-17 08:00:00+00:00,27.43,880.63
2025-06-17 09:00:00+00:00,28.53,986.1
2025-06-17 10:00:00+00:00,29.03,1025.67
2025-06-17 11:00:00+00:00,29.53,995.0
2025-06-17 12:00:00+00:00,29.93,896.78
2025-06-17 13:00:00+00:00,30.37,744.75
2025-06-17 14:00:00+00:00,30.67,550.68
2025-06-17 15:00:00+00:00,30.6,342.87
2025-06-17 16:00:00+00:00,29.9,144.08
2025-06-17 17:00:00+00:00,28.03,23.67
2025-06-17 18:00:00+00:00,25.63,0.0
2025-06-17 19:00:00+00:00,23.33,0.0
2025-06-17 20:00:00+00:00,22.0,0.0
2025-06-17 21:00:00+00:00,21.23,0.0
2025-06-17 22:00:00+00:00,20.77,0.0
2025-06-17 23:00:00+00:00,20.34,0.0
2025-06-18 00:00:00+00:00,19.77,0.0
2025-06-18 01:00:00+00:00,19.03,0.0
2025-06-18 02:00:00+00:00,18.13,0.0
2025-06-18 03:00:00+00:00,17.83,5.91
2025-06-18 04:00:00+00:00,18.57,45.05
2025-06-18 05:00:00+00:00,20.07,158.44
2025-06-18 06:00:00+00:00,21.67,353.37
2025-06-18 07:00:00+00:00,22.87,470.28
2025-06-18 08:00:00+00:00,23.9,667.53
2025-06-18 09:00:00+00:00,24.9,862.18
2025-06-18 10:00:00+00:00,25.9,1025.5
2025-06-18 11:00:00+00:00,26.83,977.6
2025-06-18 12:00:00+00:00,27.77,884.14
2025-06-18 13:00:00+00:00,28.43,744.84
2025-06-18 14:00:00+00:00,29.03,551.68
2025-06-18 15:00:00+00:00,29.07,332.94
2025-06-18 16:00:00+00:00,29.0,144.96
2025-06-18 17:00:00+00:00,28.07,22.41
2025-06-18 18:00:00+00:00,25.7,0.0
2025-06-18 19:00:00+00:00,23.13,0.0
2025-06-18 20:00:00+00:00,20.87,0.0
2025-06-18 21:00:00+00:00,20.13,0.0
2025-06-18 22:00:00+00:00,20.1,0.0
2025-06-18 23:00:00+00:00,20.3,0.0
2025-06-19 00:00:00+00:00,20.23,0.0
2025-06-19 01:00:00+00:00,19.47,0.0
2025-06-19 02:00:00+00:00,19.0,0.0
2025-06-19 03:00:00+00:00,18.9,7.4
2025-06-19 04:00:00+00:00,19.93,93.44
2025-06-19 05:00:00+00:00,21.73,293.43
2025-06-19 06:00:00+00:00,24.43,520.07
2025-06-19 07:00:00+00:00,26.87,710.46
2025-06-19 08:00:00+00:00,28.73,814.32
2025-06-19 09:00:00+00:00,29.87,965.37
2025-06-19 10:00:00+00:00,30.63,1025.39
2025-06-19 11:00:00+00:00,31.3,964.31
2025-06-19 12:00:00+00:00,31.87,846.84
2025-06-19 13:00:00+00:00,32.4,717.87
2025-06-19 14:00:00+00:00,32.37,539.41
2025-06-19 15:00:00+00:00,32.27,335.4
2025-06-19 16:00:00+00:00,31.87,143.45
2025-06-19 17:00:00+00:00,30.53,22.32
2025-06-19 18:00:00+00:00,28.23,0.0
2025-06-19 19:00:00+00:00,25.13,0.0
2025-06-19 20:00:00+00:00,23.37,0.0
2025-06-19 21:00:00+00:00,22.1,0.0
2025-06-19 22:00:00+00:00,22.07,0.0
2025-06-19 23:00:00+00:00,21.8,0.0
2025-06-20 00:00:00+00:00,22.0,0.0
2025-06-20 01:00:00+00:00,21.57,0.0
2025-06-20 02:00:00+00:00,20.6,0.0
2025-06-20 03:00:00+00:00,19.4,5.64
2025-06-20 04:00:00+00:00,18.97,40.0
2025-06-20 05:00:00+00:00,19.27,216.52
2025-06-20 06:00:00+00:00,20.0,368.53
2025-06-20 07:00:00+00:00,20.77,497.31
2025-06-20 08:00:00+00:00,21.03,499.5
2025-06-20 09:00:00+00:00,21.2,445.06
2025-06-20 10:00:00+00:00,20.97,374.62
2025-06-20 11:00:00+00:00,20.83,233.54
2025-06-20 12:00:00+00:00,20.93,196.73
2025-06-20 13:00:00+00:00,21.23,177.94
2025-06-20 14:00:00+00:00,21.8,251.35
2025-06-20 15:00:00+00:00,22.13,132.88
2025-06-20 16:00:00+00:00,22.37,87.16
2025-06-20 17:00:00+00:00,21.63,7.03
2025-06-20 18:00:00+00:00,20.43,0.0
2025-06-20 19:00:00+00:00,18.1,0.0
2025-06-20 20:00:00+00:00,17.23,0.0
2025-06-20 21:00:00+00:00,16.07,0.0
2025-06-20 22:00:00+00:00,15.63,0.0
2025-06-20 23:00:00+00:00,14.57,0.0
2025-06-21 00:00:00+00:00,13.93,0.0
2025-06-21 01:00:00+00:00,13.07,0.0
2025-06-21 02:00:00+00:00,11.93,0.0
2025-06-21 03:00:00+00:00,10.9,4.92
2025-06-21 04:00:00+00:00,13.9,42.61
2025-06-21 05:00:00+00:00,16.87,304.69
2025-06-21 06:00:00+00:00,19.5,523.25
2025-06-21 07:00:00+00:00,21.47,719.24
2025-06-21 08:00:00+00:00,22.73,879.12
2025-06-21 09:00:00+00:00,23.67,983.71
2025-06-21 10:00:00+00:00,24.7,1011.99
2025-06-21 11:00:00+00:00,25.3,965.68
2025-06-21 12:00:00+00:00,25.66,843.43
2025-06-21 13:00:00+00:00,25.75,661.09
2025-06-21 14:00:00+00:00,25.88,473.09
2025-06-21 15:00:00+00:00,25.61,266.98
2025-06-21 16:00:00+00:00,24.86,128.94
2025-06-21 17:00:00+00:00,23.51,24.99
2025-06-21 18:00:00+00:00,21.69,0.0
2025-06-21 19:00:00+00:00,19.62,0.0
2025-06-21 20:00:00+00:00,17.66,0.0
2025-06-21 21:00:00+00:00,16.59,0.0
2025-06-21 22:00:00+00:00,15.91,0.0
2025-06-21 23:00:00+00:00,15.5,0.0
2025-06-22 00:00:00+00:00,15.06,0.0
2025-06-22 01:00:00+00:00,14.74,0.0
2025-06-22 02:00:00+00:00,14.2,0.0
2025-06-22 03:00:00+00:00,14.32,15.46
2025-06-22 04:00:00+00:00,15.42,94.87
2025-06-22 05:00:00+00:00,17.63,260.48
2025-06-22 06:00:00+00:00,20.26,454.94
2025-06-22 07:00:00+00:00,22.19,664.92
2025-06-22 08:00:00+00:00,23.9,842.65
2025-06-22 09:00:00+00:00,25.27,889.55
2025-06-22 10:00:00+00:00,26.43,862.15
2025-06-22 11:00:00+00:00,27.35,910.91
2025-06-22 12:00:00+00:00,28.07,768.33
2025-06-22 13:00:00+00:00,28.44,677.38
2025-06-22 14:00:00+00:00,28.61,529.41
2025-06-22 15:00:00+00:00,28.34,342.87
2025-06-22 16:00:00+00:00,27.64,144.72
2025-06-22 17:00:00+00:00,26.23,21.54
2025-06-22 18:00:00+00:00,24.05,0.0
2025-06-22 19:00:00+00:00,21.79,0.0
2025-06-22 20:00:00+00:00,20.02,0.0
2025-06-22 21:00:00+00:00,18.96,0.0
